
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230109,APL SCOTLAND             ,KR ,SEL2301502          ,CHOSUN WELDING CO.  LTD.                          ,BOC LIMITED A.B.N.                                ,MAINFREIGHT                                       ,CHOSUN WELDING CO.  LTD.                          ,APCBRI
20230109,APL SCOTLAND             ,KR ,SEL2301508          ,DH LIGHTING CO.  LTD                              ,HELLA AUSTRALIA PTY LTD. IAM                      ,SAME AS CONSIGNEE                                 ,DH LIGHTING CO.  LTD                              ,APCMEL
20230109,PEGASUS PROTO            ,KR ,SEL2301518          ,BBC CO.  LTD                                      ,COLGATE SANXIAO CO.  LTD.                         ,SAME AS CONSIGNEE                                 ,BBC CO.  LTD                                      ,PHXSHA
20230109,APL SCOTLAND             ,KR ,SEL2301519          ,SHIN MYONG HYDRAULIC CYLINDERS CO.  LTD.          ,BURDER GROUP                                      ,SAME AS CONSIGNEE                                 ,SHIN MYONG HYDRAULIC CYLINDERS CO.  LTD.          ,APCMEL
20230109,PRESIDENT EISENHOWER     ,KR ,SEL1478671          ,KYUNGSHIN CORPORATION                             ,LEAR CORPORATION                                  ,LEAR COMPANY (CEWS PLANT)                         ,KYUNGSHIN CORPORATION                             ,
20230109,APL SCOTLAND             ,KR ,2301501SEL          ,ESAB SEAH CORP.                                   ,CIGWELD PTY LTD                                   ,CIGWELD PTY LTD                                   ,ESAB SEAH CORP.                                   ,APCMEL
20230109,APL SCOTLAND             ,KR ,SEL2301542          ,DAE YANG STRAPS CO.  LTD.                         ,R.L. BUTTON & CO LIMITED                          ,SAME AS CONSIGNEE                                 ,DAE YANG STRAPS CO.  LTD.                         ,APCNZ
20230109,APL CHONGQING            ,KR ,SEL2301577          ,KIC CO.  LTD.                                     ,RLB PACKAGING                                     ,SAME AS CONSIGNEE                                 ,KIC CO.  LTD.                                     ,APCNZ
20230109,APL SCOTLAND             ,KR ,SEL2301532          ,CLARIOS DELKOR CORPORATION                        ,COOLDRIVE ACACIA RIDGE                            ,COOLDRIVE ACACIA RIDGE                            ,CLARIOS DELKOR CORPORATION                        ,APCMEL
20230109,APL SCOTLAND             ,KR ,SEL2301533          ,CLARIOS DELKOR CORPORATION                        ,COOLDRIVE DC2 BLACKBURN                           ,COOLDRIVE DC2 BLACKBURN                           ,CLARIOS DELKOR CORPORATION                        ,APCMEL
20230109,APL SCOTLAND             ,KR ,SEL2301534          ,CLARIOS DELKOR CORPORATION                        ,COOLDRIVE SYDNEY                                  ,COOLDRIVE SYDNEY                                  ,CLARIOS DELKOR CORPORATION                        ,APCMEL
20230109,ONE TRUTH                ,KR ,SEL2301568          ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,FEDERAL-MOGUL OPERATIONS FRANCE SAS               ,FEDERAL-MOGUL OPERATIONS FRANCE - ORLEANS         ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,PHXPAR
20230109,HYUNDAI FORWARD          ,KR ,SEL2301583          ,LG CHEM  LTD.                                     ,ZANINI DO BRASIL LTDA                             ,ZANINI DO BRASIL LTDA                             ,LG CHEM                                           ,CHRBSP
20230109,HMM PROMISE              ,KR ,SEL2301580          ,PILLIP INDUSTRIAL CO.  LTD.                       ,ENVIRON SKIN CARE CC.                             ,SAME AS CONSIGNEE                                 ,PILLIP INDUSTRIAL CO.  LTD.                       ,MEGA01
20230109,NEW GOLDEN BRIDGE V      ,CH ,422458077SZN        ,SHENZHEN STARIVER CIRCUIT CO. LTD                 ,KIJOO INDUSTRIAL CO. LTD                          ,KIJOO INDUSTRIAL CO. LTD                          ,KIJOO INDUSTRIAL CO. LTD                          ,PHXSZX
