
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230107,          ,KR ,A226738KRSEL        ,TERADYNE KOREA                                    ,C.H. ROBINSON WORLDWIDE (HONG KONG) LTD           ,SAME AS CONSIGNEE                                 ,TERADYNE KOREA                                    ,PHXK
20230107,          ,KR ,A226755KRSEL        ,CIELO SERENO                                      ,TIGER TREE / METARLONG                            ,SAME AS CONSIGNEE                                 ,TIGER TREE / METARLONG                            ,APCMEL
20230107,          ,KR ,A226737KRSEL        ,GUM YOUNG GENERAL CO.  LTD.                       ,HOLLISTER-WHITNEY ELEVATOR CO.  LLC               ,SAME AS CONSIGNEE                                 ,HOLLISTER-WHITNEY ELEVATOR CO.  LLC               ,CHRNYC
20230107,          ,KR ,A226745KRSEL        ,PILLIP INDUSTRIAL CO.  LTD.                       ,ENVIRON SKIN CARE CC.                             ,DELIVER TO: ENVIRON SKIN CARE CC.                 ,                                                  ,MEGA01
20230107,          ,KR ,A226746KRSEL        ,MOTTROL CO.  LTD                                  ,FED JSC                                           ,SAME AS CONSIGNEE                                 ,                                                  ,PRO001
20230107,          ,JP ,SNK11006405         ,UNITED AIRLINES - NTRHO                           ,LSG SKY CHEFS                                     ,LSG SKY CHEFS                                     ,                                                  ,CHRCHI
