
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230110,PARIS EXPRESS            ,KR ,SEL2301514          ,DK MOTORS CO.  LTD.                               ,PIERBURG PUMP TECHNOLOGY ITALY SPA                ,SAME AS CONSIGNEE                                 ,DK MOTORS CO.  LTD.                               ,CHRCES
20230110,PARIS EXPRESS            ,KR ,SEL2301522          ,SEONG AN CO LTD                                   ,TO THE ORDER OF BANCO MONTEPIO                    ,JOAQUIM LIMA  LDA                                 ,SEONG AN COMPANY LTD.                             ,PIG001
20230110,COSCO DENMARK            ,KR ,SEL2301106          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230110,COSCO DENMARK            ,KR ,SEL2301104          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230110,COSCO DENMARK            ,KR ,SEL2301105          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230110,SM YANTIAN               ,KR ,SEL2301107          ,METALDYNE KOREA (AAM PKMF)                        ,FORD MOTOR COMPANY USA CLEVELAND ENGINE PLANT     ,HOLLINGSWORTH LLC                                 ,METALDYNE KOREA                                   ,CHRDTW
20230110,SM YANTIAN               ,KR ,SEL2301160          ,YP TRADE                                          ,KORSMET INC                                       ,SAME AS CONSIGNEE                                 ,YP TRADE                                          ,CHRTOR
20230110,COSCO DENMARK            ,KR ,SEL2301085          ,DSE  INC.                                         ,BUD INDUSTRIES INC.                               ,SAME AS CONSIGNEE                                 ,DSE  INC.                                         ,CHRCHS
20230110,KMTC MUNDRA              ,KR ,SEL2301573          ,POONGSAN HOLDINGS CO.  LTD.                       ,FEDERAL MOGUL BEARINGS INDIA LTD                  ,SAME AS CONSIGNEE                                 ,POONGSAN HOLDINGS CO.  LTD.                       ,CHRDEL
20230110,KMTC MUNDRA              ,KR ,SEL2301536          ,KCC CO.  LTD.                                     ,SYNERGY CORPORATION                               ,SAME AS CONSIGNEE                                 ,KCC CO.  LTD.                                     ,CHRDEL
20230110,KMTC MUNDRA              ,KR ,SEL2301543          ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,FEDERAL MOGUL BEARINGS INDIA LIMITED              ,SAME AS CONSIGNEE                                 ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,CHRDEL
20230110,KMTC MUNDRA              ,KR ,SEL2301578          ,CHEIL GRINDING WHEEL IND. CO.  LTD.               ,RPK INDIA PVT. LTD.                               ,SAME AS CONSIGNEE                                 ,CHEIL GRINDING WHEEL IND. CO. LTD.                ,CHRPNQ
20230110,SM YANTIAN               ,KR ,SEL2301047          ,FUKOKU KOREA CO.  LTD.                            ,POSCO INTERNATIONAL AMERICA CORP.                 ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,CHRDTW
20230110,KMTC MUNDRA              ,KR ,SEL2301588          ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,FEDERAL MOGUL BEARINGS INDIA LIMITED              ,SAME AS CONSIGNEE                                 ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,CHRDEL
20230110,NAVARINO                 ,KR ,SEL2301078          ,RAINBOW ELECTRONICS CO. LTD                       ,PECO INC AN ASTRONICS COMPANY                     ,SAME AS CONSIGNEE                                 ,RAINBOW ELECTRONICS CO. LTD                       ,CHRDEN
20230110,COSCO DENMARK            ,KR ,SEL2212168          ,DUO-FAST KOREA CO.  LTD.                          ,ITW RENOVATION AND REMODELING DBA ITW PASLODE     ,1) SAME AS CONSIGNEE                              ,DUO-FAST KOREA CO.  LTD.                          ,CHRCHI
