
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230112,MAERSK ESSEN             ,KR ,MEDUK1754929        ,DONGWON SYSTEMS CORP.                             ,TA CHEN INTERNATIONAL  INC.                       ,TA CHEN INTERNATIONAL  INC. (D.B.A. GALEX INC.)   ,DONGWON SYSTEMS CORP.                             ,
20230112,CMA CGM DIGNITY          ,KR ,SEL2301567          ,FUKOKU KOREA CO.  LTD.(CQAHK)                     ,ESPACK EUROLOGISTICA SL:                          ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,ASP004
20230112,SITC YUNCHENG            ,CN ,421753862SZN        ,ENERGIZER SINGAPORE PTE. LTD.                     ,ENERGIZER KOREA LTD                               ,ENERGIZER KOREA LTD                               ,ENERGIZER KOREA LTD                               ,PHXSZX
20230112,APL CHONGQING            ,KR ,SEL2301577          ,KIC CO.  LTD.                                     ,RLB PACKAGING                                     ,SAME AS CONSIGNEE                                 ,KIC CO.  LTD.                                     ,APCNZ
20230112,YM TARGET                ,KR ,SEL2301089          ,HWASEUNG CORPORATION CO. LTD.                     ,TO THE ORDER OF SHIPPER                           ,1) KURIYAMA OF AMERICA                            ,HWASEUNG CORPORATION CO. LTD.                     ,CHRCHI
20230112,YM TARGET                ,KR ,SEL2301086          ,SIDIZ INC                                         ,KI                                                ,KI DISTRIBUTION CENTER                            ,UNICO NETWORK                                     ,CHRCHI
20230112,YM TARGET                ,KR ,SEL2212143          ,MAXFLEX CORPORATION.                              ,TRELLTEX  INC. DBA TEXCEL                         ,SAME AS CONSIGNEE                                 ,MAXFLEX CORPORATION.                              ,CHRHOU
20230112,YM TARGET                ,KR ,SEL2301087          ,DSE  INC.                                         ,BUD INDUSTRIES INC.                               ,SAME AS CONSIGNEE                                 ,DSE  INC.                                         ,CHRCHS
20230112,APL CHONGQING            ,KR ,SEL2301574          ,WOONGJIN FOODS CO.  LTD                           ,PAVE BRANDS LTD                                   ,PAVE BRANDS LTD                                   ,                                                  ,APCNZ
20230112,APL CHONGQING            ,KR ,SEL2301575          ,WOONGJIN FOODS CO.  LTD                           ,PAVE BRANDS LTD                                   ,PAVE BRANDS LTD                                   ,                                                  ,APCNZ
20230112,CMA CGM LIBERTY          ,KR ,SEL1478676          ,KYUNGSHIN CORPORATION                             ,LEAR CORPORATION                                  ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,
20230112,MSC ANNA                 ,KR ,SEL2301581          ,IHI ROTATING MACHINERY ENGINEERING CO.  LTD       ,TERNA S.A.                                        ,SAME AS CONSIGNEE                                 ,                                                  ,SAG015
20230112,MSC ANNA                 ,KR ,SEL2301581.         ,DASCO CO. LTD                                     ,IHI ROTATING MACHINERY ENGINEERING CO.  LTD       ,SAME AS CONSIGNEE                                 ,DASCO CO. LTD                                     ,SAG015
20230112,OOCL BANGKOK             ,KR ,SEL2301114          ,KWANG MYUNG INK CO.  LTD.                         ,THE MOSAICA GROUP                                 ,THE MOSAICA GROUP                                 ,KWANG MYUNG INK CO.  LTD                          ,CHRCHI
20230112,OOCL BANGKOK             ,KR ,SEL2301190          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230112,OOCL BANGKOK             ,KR ,SEL2301191          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
