
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230114,ACACIA VIRGO             ,CN ,422725173HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230114,ACACIA VIRGO             ,CN ,422725283HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230114,ACACIA VIRGO             ,CN ,422725013HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230114,SM LONG BEACH            ,KR ,SEL2301212          ,MYUNG JIN J&S CO.  LTD.                           ,KIM & CO                                          ,SAME AS CONSIGNEE                                 ,MYUNG JIN J&S CO.  LTD.                           ,CHRYMQ
20230114,SM LONG BEACH            ,KR ,SEL2301053          ,COCOREA CO. LTD                                   ,KORSMET INC                                       ,SAME AS CONSIGNEE                                 ,COCOREA CO. LTD                                   ,CHRTOR
20230114,SM LONG BEACH            ,KR ,SEL2301054          ,FUKOKU KOREA CO.  LTD.                            ,POSCO INTERNATIONAL AMERICA CORP.                 ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,CHRDTW
20230114,PORT KLANG VOYAGER       ,ID ,422307081JKT        ,PT. ENERGIZER INDONESIA                           ,ENERGIZER KOREA LTD                               ,ENERGIZER KOREA LTD                               ,ENERGIZER KOREA LTD                               ,CHRJKT
20230114,SM LONG BEACH            ,KR ,SEL2301207..        ,YUHANSC CO.  LTD.                                 ,ALTIEL LTD                                        ,SAME AS CONSIGNEE                                 ,FILLINK CO.                                       ,CHRYMQ
20230114,SM LONG BEACH            ,KR ,SEL2301208          ,HELINOX USA INC.                                  ,IN-SPORT FASHIONS INC.                            ,SAME AS CONSIGNEE                                 ,HELINOX INC.                                      ,CHRYMQ
20230114,SM LONG BEACH            ,KR ,SEL2301210          ,DOITEX                                            ,KIM & CO                                          ,SAME AS CONSIGNEE                                 ,DOITEX                                            ,CHRYMQ
20230114,SM LONG BEACH            ,KR ,SEL2301211          ,DAMON TEXTILE CO LTD                              ,KIM & CO                                          ,THE SAME AS ABOVE                                 ,DAMON TEXTILE CO LTD                              ,CHRYMQ
20230114,SM LONG BEACH            ,KR ,SEL2301214          ,K.S INTERNATIONAL INC                             ,KIM & CO.                                         ,SAME AS CONSIGNEE                                 ,K.S INTERNATIONAL INC                             ,CHRYMQ
20230114,SM LONG BEACH            ,KR ,SEL2301209          ,FIF INTERNATIONAL CORP.                           ,KIM & CO.                                         ,SAME AS CONSIGNEE                                 ,FIF INTERNATIONAL CORP.                           ,CHRYMQ
20230114,SM LONG BEACH            ,KR ,SEL2301207          ,ALTIEL LTD                                        ,MEDIATECH - TRANSIT                               ,SAME AS CONSIGNEE                                 ,ALTIEL LTD                                        ,CHRYMQ
20230114,SM LONG BEACH            ,KR ,SEL2301207.         ,KAITO CO.  LTD.                                   ,YUHANSC CO.  LTD.                                 ,SAME AS CONSIGNEE                                 ,FILLINK CO.                                       ,CHRYMQ
20230114,INVICTA                  ,KR ,SEL2301631          ,FUKOKU KOREA CO.  LTD.                            ,SCHAEFFLER (XIANGTAN) CO.  LTD                    ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,PHXWUH
