
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230105,AFIF                     ,KR ,SEL2301546          ,WOO YOUNG MEDICAL CO.  LTD.                       ,GRIFOLS MOVACO  S.A.                              ,SAME AS CONSIGNEE                                 ,WOO YOUNG MEDICAL CO.  LTD.                       ,ASP004
20230105,STRAIT MAS               ,KR ,SEL2301550          ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,FEDERAL MOGUL BEARINGS INDIA LTD                  ,SAME AS CONSIGNEE                                 ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,CHRDEL
20230105,HYUNDAI UNITY            ,KR ,KMTCPUSG313208A     ,MASTER LOCK COMPANY LLC                           ,ZENOREX MARKETING CORPORATION                     ,ZENOREX MARKETING CORPORATION                     ,DIPLOMAT SAFE LTD.                                ,CHRYMQ
20230105,HYUNDAI UNITY            ,KR ,KMTCPUSG313208      ,DIPLOMAT SAFE LTD.                                ,ZENOREX MARKETING CORPORATION                     ,ZENOREX MARKETING CORPORATION                     ,DIPLOMAT SAFE LTD.                                ,CHRYMQ
20230105,AFIF                     ,KR ,SEL2301549          ,POSCO INTERNATIONAL CORPORATION                   ,POSCO INTERNATIONAL ITALIA SRL                    ,INTERPORTO DI NOLA                                ,FUKOKU KOREA CO.  LTD.                            ,CHRCES
20230105,EVER SMILE               ,KR ,SEL2301008          ,KTE CO.  LTD.                                     ,SPARTAN SURFACES                                  ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,CHRNYC
20230105,HYUNDAI SMART            ,KR ,SEL2212016          ,BUMI CO LTD                                       ,HUTCHINSON                                        ,HUTCHINSON                                        ,BUMI CO LTD                                       ,CHRDKX
20230105,SM KWANGYANG             ,KR ,SEL2301050          ,FUKOKU KOREA CO.  LTD.                            ,POSCO INTERNATIONAL AMERICA CORP.                 ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,CHRDTW
20230105,WAN HAI 263              ,KR ,SEL2301504          ,BEBECLAIR                                         ,GOLDEN SAPPHIRE INTERNATIONAL CO.  LTD.           ,SAME AS CONSIGNEE                                 ,BEBECLAIR                                         ,PHXTWN
20230105,APL SCOTLAND             ,KR ,2301501SEL          ,ESAB SEAH CORP.                                   ,CIGWELD PTY LTD                                   ,CIGWELD PTY LTD                                   ,ESAB SEAH CORP.                                   ,APCMEL
20230105,AFIF                     ,KR ,SEL2301506          ,TK CHEMICAL CORPORATION                           ,TO THE ORDER OF APPLICANT CORAL A.E. OIL          ,THE APPLICANT CORAL A.E. OIL                      ,TK CHEMICAL CORP.                                 ,SAG015
20230105,AFIF                     ,KR ,SEL2301507          ,SHINSUNG INDUSTRIAL ELECTRIC CO LTD               ,ELENCO ELECTRONICS & ENGINEERING CO.              ,FIGRECO TRADING CO. LTD                           ,SHINSUNG INDUSTRIAL ELECTRIC CO LTD               ,SAG015
20230105,HYUNDAI SMART            ,KR ,SEL2301027          ,VITZRO EM CO.  LTD.                               ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,VITZRO EM CO.  LTD                                ,CHRCHI
20230105,HYUNDAI SMART            ,KR ,SEL2301028          ,VITZRO EM CO.  LTD.                               ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,VITZRO EM CO.  LTD                                ,CHRCHI
20230105,HYUNDAI SMART            ,KR ,SEL2301069          ,CM PARTNER  INC.                                  ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,C.M. PARTNER  INC.                                ,CHRCHI
20230105,HYUNDAI SMART            ,KR ,SEL2301070          ,CM PARTNER  INC.                                  ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,C.M. PARTNER  INC.                                ,CHRCHI
20230105,SM KWANGYANG             ,KR ,SEL2301077          ,METALDYNE KOREA (AAM PKMF)                        ,FORD MOTOR COMPANY USA CLEVELAND ENGINE PLANT     ,HOLLINGSWORTH LLC                                 ,METALDYNE KOREA                                   ,CHRDTW
20230105,SITC YUNCHENG            ,MY ,421327314JHB        ,KNAUF INSULATION SDN BHD                          ,KNAUF INSULATION LTD.                             ,KNAUF INSULATION LTD.                             ,KNAUF INSULATION LTD.                             ,PHXJHB
20230105,COSCO DENMARK            ,KR ,SEL2301085          ,DSE  INC.                                         ,BUD INDUSTRIES INC.                               ,SAME AS CONSIGNEE                                 ,DSE  INC.                                         ,CHRCHS
20230105,YOKOHAMA TRADER          ,KR ,SEL2301557          ,FUKOKU KOREA CO.  LTD.                            ,SCHAEFFLER (XIANGTAN) CO.  LTD                    ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,PHXWUH
20230105,HYUNDAI SMART            ,KR ,SEL2301102          ,SUNG IL CO. LTD                                   ,MASONITE LAWRENCEVILLE                            ,A N DERINGER INC                                  ,SUNG IL CO.  LTD.                                 ,CHRCLT
20230105,WAN HAI 161              ,KR ,SEL2301561          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MFG. CORP LTD FAB12                ,TAIWAN SEMICON MFG. CORP LTD FAB12                ,EDWARDS KOREA                                     ,PHXTWN
