
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230123,KMTC NINGBO              ,KR ,SEL2301668          ,PILS CO.  LTD.                                    ,SHIP`S SPARES IN TRANSIT                          ,WOODSIDE ENERGY LTD                               ,PILS CO.  LTD.                                    ,APCNEW
20230123,QI YUN HE                ,CN ,423306370NGB        ,NINGBO LUYAN TRADING CO. LTD                      ,MONSTER ENERGY KOREA LTD                          ,MONSTER ENERGY KOREA LTD                          ,MONSTER ENERGY KOREA LTD                          ,PHXNGB
20230123,YM TOPMOST               ,KR ,SEL2301235          ,HWASEUNG CORPORATION CO. LTD.                     ,TO THE ORDER OF SHIPPER                           ,1) KURIYAMA OF AMERICA                            ,HWASEUNG CORPORATION CO. LTD.                     ,CHRCHI
20230123,YM TOPMOST               ,KR ,SEL2301236          ,HWASEUNG CORPORATION CO. LTD.                     ,TO THE ORDER OF SHIPPER                           ,1) KURIYAMA OF AMERICA                            ,HWASEUNG CORPORATION CO. LTD.                     ,CHRCHI
