
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230117,HYUNDAI VANCOUVER        ,KR ,SEL2301621          ,CLARIOS DELKOR CORPORATION                        ,SEALED PERFORMANCE BATTERIES                      ,SEALED PERFORMANCE BATTERIES                      ,CLARIOS DELKOR CORPORATION                        ,APCBRI
20230117,HYUNDAI VANCOUVER        ,KR ,SEL2301625          ,SEBANG GLOBAL BATTERY CO. LTD.                    ,COOLDRIVE BATTERIES                               ,COOLDRIVE BATTERIES                               ,GLOBAL EXPRESS CO.  LTD.                          ,APCMEL
20230117,HYUNDAI VANCOUVER        ,KR ,SEL2301626          ,SEBANG GLOBAL BATTERY CO. LTD.                    ,COOLDRIVE ACACIA RIDGE                            ,COOLDRIVE ACACIA RIDGE                            ,GLOBAL EXPRESS CO.  LTD.                          ,APCMEL
20230117,HYUNDAI VANCOUVER        ,KR ,SEL2301627          ,SEBANG GLOBAL BATTERY CO. LTD.                    ,COOLDRIVE KINGS PARK - DIESEL                     ,COOLDRIVE KINGS PARK - DIESEL                     ,GLOBAL EXPRESS CO.  LTD.                          ,APCMEL
20230117,KMTC TOKYO               ,CN ,423174401HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230117,KMTC TOKYO               ,CN ,423174153HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230117,KMTC TOKYO               ,CN ,423174595HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230117,OOCL BANGKOK             ,KR ,SEL2301205          ,KR FITTING CO. LTD                                ,BOJIN HONGKONG LIMITED                            ,BOJIN HONGKONG LIMITED                            ,KR FITTING CO. LTD                                ,CHRLAX
20230117,HYUNDAI VANCOUVER        ,KR ,SEL2301633          ,SHIN HUNG CO. LTD.                                ,TO ORDER OF SHIPPER                               ,BRUCE COLLINS ENTERPRISES                         ,                                                  ,APCMEL
20230117,AL QIBLA EXPRESS         ,KR ,SEL2301598          ,HKC CO.  LTD                                      ,MECANICA PRISMA  S.L.                             ,SAME AS CONSIGNEE                                 ,HKC CO.  LTD                                      ,ASP004
20230117,MAERSK ALGOL             ,KR ,SEL2211158          ,KTE CO.  LTD.                                     ,SPARTAN SURFACES                                  ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,CHRNYC
20230117,MAERSK ALGOL             ,KR ,SEL2211159          ,KTE CO.  LTD.                                     ,SPARTAN SURFACES                                  ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,CHRNYC
20230117,OOCL BANGKOK             ,KR ,SEL2301114          ,KWANG MYUNG INK CO.  LTD.                         ,THE MOSAICA GROUP                                 ,THE MOSAICA GROUP                                 ,KWANG MYUNG INK CO.  LTD                          ,CHRCHI
20230117,OOCL BANGKOK             ,KR ,SEL2301190          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230117,OOCL BANGKOK             ,KR ,SEL2301191          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230117,HYUNDAI VANCOUVER        ,KR ,SEL2301629          ,HYUNDAI CONSTRUCTION EQUIPMENT CO.  LTD.          ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,APCBRI
20230117,HYUNDAI VANCOUVER        ,KR ,SEL2301630          ,TAE-CHANG INDUSTRIAL CO. LTD                      ,TERUMO AUSTRALIA PTY LIMITED                      ,SAME AS CONSIGNEE                                 ,TAE-CHANG INDUSTRIAL CO. LTD                      ,APCSYD
