
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230119,MAERSK ALGOL             ,KR ,SEL2301186          ,CLARIOS DELKOR CORPORATION                        ,CLARIOS                                           ,C.H. ROBINSON INTERNATIONAL INC.                  ,CLARIOS DELKOR CORPORATION                        ,CHRCHI
20230119,MAERSK ALGOL             ,KR ,SEL2301112          ,CLARIOS DELKOR CORPORATION                        ,CLARIOS                                           ,C.H. ROBINSON INTERNATIONAL INC.                  ,CLARIOS DELKOR CORPORATION                        ,CHRCHI
20230119,CMA CGM CHOPIN           ,KR ,SEL2301636          ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,SAME AS CONSIGNEE                                 ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,APCSYD
20230119,ZEUS LUMOS               ,KR ,SEL2301637          ,WOO YOUNG MEDICAL CO.  LTD.                       ,GRIFOLS MOVACO  S.A.                              ,SAME AS CONSIGNEE                                 ,WOO YOUNG MEDICAL CO.  LTD.                       ,ASP004
20230119,CMA CGM CHOPIN           ,KR ,SEL2301601          ,KOREA DAYTON VALVE CO.  LTD.                      ,CHALLENGER VALVE & ACTUATORS.                     ,SAME AS CONSIGNEE                                 ,KOREA DAYTON VALVE COMPANY.                       ,APCMEL
20230119,SM TIANJIN               ,KR ,SEL2301046          ,CHUNGHO NAIS CO.  LTD.                            ,QUENCH USA                                        ,SAME AS CONSIGNEE                                 ,CHUNG HO NAIS CO. LTD                             ,CHRMIA
20230119,ZEUS LUMOS               ,KR ,SEL2301616          ,DK MOTORS CO.  LTD.                               ,PIERBURG PUMP TECHNOLOGY ITALY SPA                ,SAME AS CONSIGNEE                                 ,DK MOTORS CO.  LTD.                               ,CHRCES
20230119,MAERSK ALGOL             ,KR ,SEL2211158          ,KTE CO.  LTD.                                     ,SPARTAN SURFACES                                  ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,CHRNYC
20230119,MAERSK ALGOL             ,KR ,SEL2211159          ,KTE CO.  LTD.                                     ,SPARTAN SURFACES                                  ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,CHRNYC
20230119,BAL BRIGHT               ,CN ,422589639PVG        ,HYDRATIGHT FZE                                    ,ACTUANT KOREA LTD                                 ,ACTUANT KOREA LTD                                 ,ACTUANT KOREA LTD                                 ,PHXSHA
20230119,PRESIDENT TRUMAN         ,KR ,SEL1478679          ,KYUNGSHIN CORPORATION                             ,LEAR CORPORATION                                  ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,
20230119,CMA CGM CHOPIN           ,KR ,2301503SEL          ,ESAB SEAH CORP.                                   ,CIGWELD PTY LTD                                   ,CIGWELD PTY LTD                                   ,ESAB SEAH CORP.                                   ,APCMEL
20230119,KOTA LAYANG              ,KR ,SEL2301641          ,YOOLIM INDUSTRIAL CO. LTD.                        ,ADIENT MEXICO AUTOMOTRIZ  S. DE R.L. DE C.V.      ,SAME AS CONSIGNEE                                 ,YOOLIM INDUSTRIAL CO. LTD.                        ,CHRMEX
20230119,BAL BRIGHT               ,CN ,423169919PVG        ,MOTECK ELECTRIC CORP.                             ,MOTECK KOREA                                      ,MOTECK KOREA                                      ,MOTECK KOREA                                      ,PHXSHA
20230119,JAN                      ,CN ,422587569SZN        ,CARGILL INVESTMENTS (CHINA) LTD.                  ,CORELANDMARK  INC                                 ,CORELANDMARK  INC                                 ,CORELANDMARK  INC                                 ,PHXSZX
