
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230106,YM TARGET                ,KR ,SEL2301012          ,T & G CORPORATION                                 ,KWIK TICKET INC.                                  ,SEWING COLLECTION                                 ,T AND G CORPORATION                               ,CHRNYC
20230106,YM TARGET                ,KR ,SEL2301109          ,BU KWANG TEXTILE CO.  LTD.                        ,TIEDEMANN-BEVS INDUSTRIES                         ,C.H. ROBINSON INTERNATIONAL INC.                  ,BU KWANG TEXTILE CO.  LTD.                        ,CHRIND
20230106,HYUNDAI SMART            ,KR ,SEL2212016          ,BUMI CO LTD                                       ,HUTCHINSON                                        ,HUTCHINSON                                        ,BUMI CO LTD                                       ,CHRDKX
20230106,HMM BLESSING             ,KR ,SEL2301512          ,CHUNIL ENGINEERING CO. LTD                        ,CHUNIL MEXICO S.A. DE C.V.                        ,SAME AS CONSIGNEE                                 ,CHUNIL ENGINEERING CO. LTD                        ,CHRGRC
20230106,COSCO DENMARK            ,KR ,SEL2301106          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230106,COSCO DENMARK            ,KR ,SEL2301104          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230106,COSCO DENMARK            ,KR ,SEL2301105          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230106,YM TARGET                ,KR ,SEL2301108          ,PLUS INDUSTRIES INC.                              ,TRIMACO  INC                                      ,TRIMACO  INC                                      ,PLUS INDUSTRIES INC.                              ,CHRCLT
20230106,KMTC JAKARTA             ,CN ,422453263HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230106,KMTC JAKARTA             ,CN ,422453490HKG        ,ARVATO SERVICES HONG KONG LTD                     ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,MICROSOFT KOREA                                   ,CHRHKG
20230106,HYUNDAI SMART            ,KR ,SEL2301005          ,KOLON INDUSTRIES INC.                             ,ORIGIN MATERIALS                                  ,ORIGIN MATERIALS                                  ,KOLON INDUSTRIES INC.                             ,CHRCHI
20230106,HMM BLESSING             ,KR ,SEL2301521          ,FUKOKU KOREA CO.  LTD.(CQAHE)                     ,FACTORIA INDUSTRIAL  S.A. DE C.V. (CQAHG)         ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,CHRGRC
20230106,HYUNDAI SMART            ,KR ,SEL2301027          ,VITZRO EM CO.  LTD.                               ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,VITZRO EM CO.  LTD                                ,CHRCHI
20230106,HYUNDAI SMART            ,KR ,SEL2301028          ,VITZRO EM CO.  LTD.                               ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,VITZRO EM CO.  LTD                                ,CHRCHI
20230106,HYUNDAI SMART            ,KR ,SEL2301069          ,CM PARTNER  INC.                                  ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,C.M. PARTNER  INC.                                ,CHRCHI
20230106,HYUNDAI SMART            ,KR ,SEL2301070          ,CM PARTNER  INC.                                  ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,C.M. PARTNER  INC.                                ,CHRCHI
20230106,EASLINE OSAKA            ,KR ,DJSCPUS220030119    ,KOSPA CORPORATION                                 ,JSP PLASTICS (SHANGHAI) CO.  LTD.                 ,JSP PLASTICS (SHANGHAI) CO.  LTD.                 ,                                                  ,
