
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230123,          ,KR ,A226743KRSEL        ,REMOTE SOLUTION CO. LTD                           ,SNAP ONE LLC                                      ,SHIP TO: SNAP ONE LLC                             ,CONTROL4                                          ,CHRCLT
20230123,          ,US ,423797363CHI        ,ENERPAC DIV OF ACTUANT CORPORATION                ,ACTUANT KOREA LTD                                 ,ACTUANT KOREA LTD                                 ,                                                  ,
20230123,          ,US ,423927463CHI        ,D&S EXPORTS INC                                   ,SEGI TECH                                         ,SEGI TECH                                         ,                                                  ,CHRCHI
20230123,          ,US ,423951115CHI        ,URSCHEL LABORATORIES                              ,SHINYANG ENT                                      ,SHINYANG ENT                                      ,                                                  ,CHRCHI
20230123,          ,ZA ,00425411            ,ENVIRON SKIN CARE CC.                             ,CONTAC KOREA                                      ,CONTAC KOREA                                      ,                                                  ,
20230123,          ,US ,1050733141          ,HILLS PET NUTRITION SALES INC EXP                 ,HILLS PET NUTRITION KOREA                         ,HILLS PET NUTRITION KOREA                         ,                                                  ,
20230123,          ,US ,1050732842          ,HILLS PET NUTRITION SALES INC EXP                 ,HILLS PET NUTRITION KOREA                         ,HILLS PET NUTRITION KOREA                         ,                                                  ,
20230123,          ,US ,1050733293          ,HILLS PET NUTRITION SALES INC EXP                 ,HILLS PET NUTRITION KOREA                         ,HILLS PET NUTRITION KOREA                         ,                                                  ,
