
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230119,          ,KR ,A226791KRSEL        ,HANSAN COMPANY LTD.                               ,THE BABCOCK & WILCOX COMPANY                      ,SHIP TO: NEW MADRID POWER PLANT                   ,BABCOCK & WILCOX COMPANY                          ,CHRCLE
20230119,          ,KR ,A226763KRSEL        ,KYUNGSHIN CORPORATION                             ,HONDURAS ELECTRICAL DISTRIBUTION SYSTEMS(HEDS)    ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,PHXK
20230119,          ,KR ,A226765KRSEL        ,KYUNGSHIN CORPORATION                             ,HONDURAS ELECTRICAL DISTRIBUTION SYSTEMS(HEDS)    ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,PHXK
20230119,          ,KR ,A226797KRSEL        ,ROBOTS AND DESIGN CO.  LTD.                       ,AXSYS INC.                                        ,SAME AS ABOVE                                     ,AXSYS INCORPORATED                                ,CHRDTW
20230119,          ,KR ,A226792KRSEL        ,YUDO CO. LTD.                                     ,YUDO HOT RUNNER INDIA PVT. LTD.                   ,SAME AS CONSIGNEE                                 ,                                                  ,CHRMUM
20230119,          ,CR ,0206830             ,NATURAL ALOE DE COSTA RICA S.A.                   ,MANNATECH KOREA                                   ,MANNATECH KOREA                                   ,                                                  ,CHRDFW
20230119,          ,SG ,423739175SIN        ,PERKINELMER SINGAPORE PTE LTD                     ,PERKINELMER KOREA LTD CO                          ,PERKINELMER KOREA LTD CO                          ,                                                  ,PHXSIN
