
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230113,MAERSK ESSEN             ,KR ,MEDUK1754929        ,DONGWON SYSTEMS CORP.                             ,TA CHEN INTERNATIONAL  INC.                       ,TA CHEN INTERNATIONAL  INC. (D.B.A. GALEX INC.)   ,DONGWON SYSTEMS CORP.                             ,
20230113,STARSHIP PEGASUS         ,KR ,SEL2301594          ,FUKOKU KOREA CO.  LTD.                            ,SCHAEFFLER (XIANGTAN) CO.  LTD                    ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,PHXWUH
20230113,WAN HAI 522              ,KR ,SEL2301589          ,CENTURY DISTRIBUTION SYSTEM INC.                  ,CANELLA SOCIEDAD ANONIMA                          ,CANELLA SOCIEDAD ANONIMA                          ,KAWASAKI KISEN KAISHA. LTD.                       ,ILGGUA
20230113,WAN HAI 522              ,KR ,SEL2301590          ,YOOLIM INDUSTRIAL CO. LTD.                        ,ADIENT MEXICO AUTOMOTRIZ  S. DE R.L. DE C.V.      ,SAME AS CONSIGNEE                                 ,YOOLIM INDUSTRIAL CO. LTD.                        ,CHRMEX
20230113,YM IMMENSE               ,KR ,SEL2301607          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MANUFAC CORP FAB12P7               ,TAIWAN SEMICON MANUFAC CORP FAB12P7               ,EDWARDS KOREA                                     ,PHXTWN
20230113,YM IMMENSE               ,KR ,SEL2301608          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MANUFAC CORP FAB12P6               ,TAIWAN SEMICON MANUFAC CORP FAB12P6               ,EDWARDS KOREA                                     ,PHXTWN
20230113,YM IMMENSE               ,KR ,SEL2301609          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MFG. CORP LTD FAB12                ,TAIWAN SEMICON MFG. CORP LTD FAB12                ,EDWARDS KOREA                                     ,PHXTWN
20230113,YM IMMENSE               ,KR ,SEL2301610          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MFG. CORP LTD FAB5                 ,TAIWAN SEMICON MFG. CORP LTD FAB5                 ,EDWARDS KOREA                                     ,PHXTWN
20230113,YM IMMENSE               ,KR ,SEL2301611          ,EDWARDS LIMITED                                   ,TAIWAN SEMICON MANUFAC CORP FAB12P8               ,TAIWAN SEMICON MANUFAC CORP FAB12P8               ,EDWARDS KOREA                                     ,PHXTWN
20230113,DONGJIN NAGOYA           ,JP ,DJSCYOK220004454    ,SUMITOMO CORPORATION                              ,TO THE ORDER OF INDUSTRIAL BANK OF KOREA          ,JEONWOO PRECISION CO. LTD.                        ,JEONWOO PRECISION CO. LTD.                        ,
20230113,ASIATIC PRIDE            ,KR ,SEL2301597          ,KTE CO.  LTD.                                     ,NATIONAL TILES                                    ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,APCMEL
20230113,DONGJIN CONFIDENT        ,KR ,SEL2301599          ,KOH YOUNG TECHNOLOGY INC.                         ,SALOM ELECTRIC (THAILAND) CO.  LTD.               ,FUJI MACHINE (THAILAND) CO.  LTD.                 ,KOHYOUNG TECHNOLOGY INC.                          ,PHXBKK
20230113,STARSHIP PEGASUS         ,KR ,SEL2301600          ,KOREA ELECTRIC TERMINAL CO. LTD.                  ,TAIZHOU SUPERSTAR ELECTRONICS CO.  LTD            ,SAME AS ABOVE                                     ,KOREA ELECTRIC TERMINAL CO. LTD.                  ,PHXNKG
20230113,YM MILESTONE             ,SG ,421991840SIN        ,ENERGIZER SINGAPORE PTE. LTD.                     ,ENERGIZER KOREA LTD                               ,ENERGIZER KOREA LTD                               ,ENERGIZER KOREA LTD                               ,PHXSIN
20230113,YM MILESTONE             ,SG ,421991823SIN        ,ENERGIZER SINGAPORE PTE. LTD.                     ,ENERGIZER KOREA LTD                               ,ENERGIZER KOREA LTD                               ,ENERGIZER KOREA LTD                               ,PHXSIN
20230113,ONE MANEUVER             ,KR ,SEL2301026          ,DAE-IL CORPORATION                                ,MCFA - BRITTMOORE WAREHOUSE                       ,SAME AS CONSIGNEE                                 ,DAE-IL CORPORATION                                ,CHRHOU
20230113,ONE MANEUVER             ,KR ,SEL2301003          ,MAXFLEX CORPORATION.                              ,TRELLTEX  INC. DBA TEXCEL                         ,SAME AS CONSIGNEE                                 ,MAXFLEX CORPORATION.                              ,CHRHOU
20230113,ONE MANEUVER             ,KR ,SEL2301153          ,SUNG IL CO. LTD                                   ,MASONITE. CORP. - MESQUITE                        ,A N DERINGER INC                                  ,SUNG IL CO.  LTD.                                 ,CHRCLT
