
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230116,HYUNDAI MARS             ,KR ,SEL2301030          ,WSG CO. LTD                                       ,WINTER TECHNOLOGIES LLC                           ,SAME AS CONSIGNEE                                 ,WSG CO. LTD                                       ,CHRSGF
20230116,MANZANILLO EXPRESS       ,KR ,2301502SEL          ,ESAB SEAH CORP.                                   ,ESAB MEXICO SA DE CV                              ,ESAB MEXICO SA DE CV                              ,ESAB SEAH CORP.                                   ,CHRGRC
20230116,SM LONG BEACH            ,KR ,SEL2301216          ,MIRKOR TECHNOLOGIES                               ,MIRCOM TECH. LTD.                                 ,SAME AS CONSIGNEE                                 ,MIRKOR TECHNOLOGIES                               ,CHRTOR
20230116,OOCL BANGKOK             ,KR ,SEL2301038          ,DUO-FAST KOREA CO.  LTD.                          ,ITW RENOVATION AND REMODELING DBA ITW PASLODE     ,1) SAME AS CONSIGNEE                              ,DUO-FAST KOREA CO.  LTD.                          ,CHRCHI
20230116,KMTC NHAVA SHEVA         ,KR ,SEL2301640          ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,SAME AS CONSIGNEE                                 ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,APCNEW
20230116,NEW GOLDEN BRIDGE V      ,CH ,422715291SZN        ,SHENZHEN STARIVER CIRCUIT CO. LTD                 ,KIJOO INDUSTRIAL CO. LTD                          ,KIJOO INDUSTRIAL CO. LTD                          ,KIJOO INDUSTRIAL CO. LTD                          ,PHXSZX
20230116,TIHAMA                   ,KR ,SEL2301544          ,WOORY INDUSTRIAL CO. LTD                          ,BERGSTROM (EUROPE) LTD.                           ,SAME AS CONSIGNEE                                 ,WOORY INDUSTRIAL CO.  LTD.                        ,CHRLON
20230116,HYUNDAI MARS             ,KR ,SEL2301154          ,ILJIN GLOBAL                                      ,NTN BEARING CORPORATION OF AMERICA                ,NTN BEARING CORPORATION OF AMERICA                ,ILJIN GLOBAL                                      ,CHRCHI
20230116,HYUNDAI MARS             ,KR ,SEL2301040          ,HANCHANG PAPER CO.  LTD.                          ,ECO-PRODUCTS INC.                                 ,ECO-PRODUCTS INC.                                 ,HANCHANG PAPER CO. LTD.                           ,CHRCLT
