
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230115,HYUNDAI MARS             ,KR ,SEL2301030          ,WSG CO. LTD                                       ,WINTER TECHNOLOGIES LLC                           ,SAME AS CONSIGNEE                                 ,WSG CO. LTD                                       ,CHRSGF
20230115,GERDA MAERSK             ,KR ,SEL2301111          ,CLARIOS DELKOR CORPORATION                        ,CLARIOS  LLC                                      ,C.H. ROBINSON INTERNATIONAL INC.                  ,CLARIOS DELKOR CORPORATION                        ,CHRCHI
20230115,GERDA MAERSK             ,KR ,SEL2301113          ,CLARIOS DELKOR CORPORATION                        ,CLARIOS  LLC                                      ,C.H. ROBINSON INTERNATIONAL INC.                  ,CLARIOS DELKOR CORPORATION                        ,CHRCHI
20230115,GERDA MAERSK             ,KR ,2212176SEL          ,DONG WOO ADVANCED MATERIAL CO. LTD.               ,ESAB WELDING AND CUTTING PRODUCTS                 ,SAME AS CONSIGNEE                                 ,                                                  ,CHRCHS
20230115,HYUNDAI MARS             ,KR ,SEL2301154          ,ILJIN GLOBAL                                      ,NTN BEARING CORPORATION OF AMERICA                ,NTN BEARING CORPORATION OF AMERICA                ,ILJIN GLOBAL                                      ,CHRCHI
20230115,HYUNDAI MARS             ,KR ,SEL2301040          ,HANCHANG PAPER CO.  LTD.                          ,ECO-PRODUCTS INC.                                 ,ECO-PRODUCTS INC.                                 ,HANCHANG PAPER CO. LTD.                           ,CHRCLT
20230115,HYUNDAI MARS             ,KR ,SEL2301194          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230115,HYUNDAI MARS             ,KR ,SEL2301192          ,TYM CORPORATION                                   ,MATTOON RURAL KING SUPPLY  INC.                   ,AN DERINGER                                       ,TYM CORPORATION                                   ,CHRSTL
20230115,HYUNDAI MARS             ,KR ,SEL2301195          ,BU KWANG TEXTILE CO.  LTD.                        ,TIEDEMANN-BEVS INDUSTRIES                         ,C.H. ROBINSON INTERNATIONAL INC.                  ,BU KWANG TEXTILE CO.  LTD.                        ,CHRIND
20230115,HYUNDAI MARS             ,KR ,SEL2301188          ,INKTEC CO.  LTD.                                  ,LEXJET CORP                                       ,UPS SCS                                           ,INKTEC CO. LTD.                                   ,CHRDKX
20230115,HYUNDAI MARS             ,KR ,SEL2301189          ,INKTEC CO.  LTD.                                  ,BRAND MANAGEMENET GROUP                           ,UPS SCS                                           ,INKTEC CO. LTD.                                   ,CHRDKX
20230115,HYUNDAI MARS             ,KR ,SEL2301135          ,Y.C. BEAUTY CREATIONS                             ,MARIANNA INDUSTRIES  INC.                         ,LAUFER GROUP INTERNATIONAL  LTD.                  ,Y.C. BEAUTY CREATIONS                             ,CHRMSP
20230115,HYUNDAI MARS             ,KR ,SEL2301024          ,SAM SHIN CHEMICAL CO. LTD                         ,EXODUSDIRECT  LLC                                 ,SAME AS CONSIGNEE                                 ,SAM SHIN CHEMICAL CO. LTD                         ,CHRMSP
