
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230121,          ,KR ,A226793KRSEL        ,CIELO SERENO                                      ,TIGER TREE / METARLONG                            ,SAME AS CONSIGNEE                                 ,TIGER TREE / METARLONG                            ,APCMEL
20230121,          ,KR ,A226795KRSEL        ,ARUM                                              ,AXSYS INCORPORATED                                ,SAME AS CONSIGNEE                                 ,AXSYS INCORPORATED                                ,CHRDTW
20230121,          ,KR ,A226796KRSEL        ,KOHYOUNG TECHNOLOGY INC.                          ,FLEXTRONICS AMARICA LLC                           ,SAME AS CONSIGNEE                                 ,FLEXTRONICS AMARICA LLC                           ,CHRDFW
20230121,          ,KR ,A226815KRSEL        ,PFEIFFER VACUUM KOREA  LTD                        ,PFEIFFER VACUUM INC                               ,SAME AS CONSIGNEE                                 ,PFIFFER VACUUM                                    ,CHRBOS
20230121,          ,KR ,A226816KRSEL        ,AIONCOKOREA CO.  LTD.                             ,MINMAXDEALS LLC                                   ,SAME AS CONSIGNEE                                 ,MINMAXDEALS LLC                                   ,SFT016
20230121,          ,US ,422971059CHI        ,UNITED AIRLINES CATERING- INTL                    ,LSG SKY CHEFS                                     ,LSG SKY CHEFS                                     ,                                                  ,CHRCHI
20230121,          ,US ,1050663325          ,HILLS PET NUTRITION SALES INC EXP                 ,HILLS PET NUTRITION KOREA                         ,HILLS PET NUTRITION KOREA                         ,                                                  ,
