
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230116,          ,KR ,A226760KRSEL        ,KYUNGSHIN CORPORATION                             ,HONDURAS ELECTRICAL DISTRIBUTION SYSTEMS(HEDS)    ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,PHXK
20230116,          ,KR ,A226762KRSEL        ,KYUNGSHIN CORPORATION                             ,HONDURAS ELECTRICAL DISTRIBUTION SYSTEMS(HEDS)    ,SAME AS CONSIGNEE                                 ,KYUNGSHIN CORPORATION                             ,PHXK
20230116,          ,US ,423338508CHI        ,CAST ALUMINUM SOLUTIONS                           ,PSK INC.                                          ,PSK INC.                                          ,                                                  ,
20230116,          ,US ,423339893CHI        ,URSCHEL LABORATORIES                              ,SHINYANG ENT                                      ,SHINYANG ENT                                      ,                                                  ,CHRCHI
20230116,          ,US ,WJIA100047          ,BRADY CORP                                        ,JHYUN INFORMATION SYSTEM CO LTD                   ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230116,          ,US ,WJIA100050          ,BRADY CORP                                        ,BSM INDUSTRY                                      ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230116,          ,US ,WJIA100051          ,BRADY CORP                                        ,CHUNGHAE INDUSTRY                                 ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230116,          ,US ,WJIA100052          ,BRADY CORP                                        ,FOCUS SYSTEMS                                     ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230116,          ,US ,WJIA100048          ,BRADY CORP                                        ,JKC INC                                           ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230116,          ,US ,WJIA100049          ,BRADY CORP                                        ,3I COMMUNICATION                                  ,WOOJININTELOGIS                                   ,                                                  ,CHRDFW
20230116,          ,US ,423209838DFW        ,MOHAWK LABORATORIES                               ,NCH KOREA LTD                                     ,NCH KOREA LTD                                     ,                                                  ,CHRDFW
20230116,          ,US ,423253818BOS        ,CORNING OPTICAL COMMUNICATIONS                    ,DAE YOUNG E&C CO.  LTD.                           ,DAE YOUNG E&C CO.  LTD.                           ,                                                  ,CHRBOS
20230116,          ,US ,422999560DEN        ,LANDSBERG ORORA                                   ,COORSTEK  INC.                                    ,COORSTEK  INC.                                    ,                                                  ,
