
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230107,PARIS EXPRESS            ,KR ,SEL2301522          ,SEONG AN CO LTD                                   ,TO THE ORDER OF BANCO MONTEPIO                    ,JOAQUIM LIMA  LDA                                 ,SEONG AN COMPANY LTD.                             ,PIG001
20230107,SM YANTIAN               ,KR ,SEL2301107          ,METALDYNE KOREA (AAM PKMF)                        ,FORD MOTOR COMPANY USA CLEVELAND ENGINE PLANT     ,HOLLINGSWORTH LLC                                 ,METALDYNE KOREA                                   ,CHRDTW
20230107,SM YANTIAN               ,KR ,SEL2301160          ,YP TRADE                                          ,KORSMET INC                                       ,SAME AS CONSIGNEE                                 ,YP TRADE                                          ,CHRTOR
20230107,ZIM AUSTRALIA            ,KR ,SEL2301566          ,HYUNDAI CONSTRUCTION EQUIPMENT CO.  LTD.          ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,PORTER EQUIPMENT AUSTRALIA PTY LTD                ,HYUNDAI CONSTRUCTION EQUIPMNET                    ,APCBRI
20230107,KMTC MUNDRA              ,KR ,SEL2301573          ,POONGSAN HOLDINGS CO.  LTD.                       ,FEDERAL MOGUL BEARINGS INDIA LTD                  ,SAME AS CONSIGNEE                                 ,POONGSAN HOLDINGS CO.  LTD.                       ,CHRDEL
20230107,KMTC MUNDRA              ,KR ,SEL2301536          ,KCC CO.  LTD.                                     ,SYNERGY CORPORATION                               ,SAME AS CONSIGNEE                                 ,KCC CO.  LTD.                                     ,CHRDEL
20230107,KMTC MUNDRA              ,KR ,SEL2301543          ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,FEDERAL MOGUL BEARINGS INDIA LIMITED              ,SAME AS CONSIGNEE                                 ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,CHRDEL
20230107,KMTC MUNDRA              ,KR ,SEL2301578          ,CHEIL GRINDING WHEEL IND. CO.  LTD.               ,RPK INDIA PVT. LTD.                               ,SAME AS CONSIGNEE                                 ,CHEIL GRINDING WHEEL IND. CO. LTD.                ,CHRPNQ
20230107,SM YANTIAN               ,KR ,SEL2301047          ,FUKOKU KOREA CO.  LTD.                            ,POSCO INTERNATIONAL AMERICA CORP.                 ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,CHRDTW
20230107,SIANGTAN                 ,KR ,SEL2301540          ,MATRIX APPLIED TECHNOLOGIES.  LTD.                ,DIALOG FITZROY LIMITED                            ,SAME AS CONSIGNEE                                 ,MATRIX APPLIED TECHNOLOGIES LTD.                  ,APCNZ
20230107,SIANGTAN                 ,KR ,SEL2301541          ,BS METAL CO.  LTD.                                ,TO ORDER OF STIRLINGS PERFORMANCE STEELS          ,STIRLINGS PERFORMANCE STEELS PTY LTD              ,BS METAL CO.  LTD.                                ,APCNZ
20230107,KMTC MUNDRA              ,KR ,SEL2301588          ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,FEDERAL MOGUL BEARINGS INDIA LIMITED              ,SAME AS CONSIGNEE                                 ,FEDERAL-MOGUL SEJONG CO.  LTD.                    ,CHRDEL
20230107,CMA CGM CONCORDE         ,KR ,SEL2301552          ,WITHSHIM LTD.                                     ,TO THE ORDER OF WIND GMBH                         ,C.H. ROBINSON AUSTRIA GMBH                        ,WITHSHIM LTD.                                     ,CHRVIE
20230107,GEORG MAERSK             ,KR ,SEL2301096          ,CLARIOS DELKOR CORPORATION                        ,CLARIOS                                           ,C.H. ROBINSON INTERNATIONAL INC.                  ,CLARIOS DELKOR CORPORATION                        ,CHRCHI
20230107,ZIM AMERICA              ,KR ,SEL2212175          ,DUO-FAST KOREA CO.  LTD.                          ,ITW RENOVATION AND REMODELING DBA ITW PASLODE     ,1) SAME AS CONSIGNEE                              ,DUO-FAST KOREA CO.  LTD.                          ,CHRCHI
