
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230118,SM LONG BEACH            ,KR ,SEL2301212          ,MYUNG JIN J&S CO.  LTD.                           ,KIM & CO                                          ,SAME AS CONSIGNEE                                 ,MYUNG JIN J&S CO.  LTD.                           ,CHRYMQ
20230118,SM LONG BEACH            ,KR ,SEL2301053          ,COCOREA CO. LTD                                   ,KORSMET INC                                       ,SAME AS CONSIGNEE                                 ,COCOREA CO. LTD                                   ,CHRTOR
20230118,HYUNDAI AMBITION         ,KR ,SEL2301620          ,CENTURY DISTRIBUTION SYSTEM INC.                  ,PARTS TRADING PANAMA INC                          ,PARTS TRADING PANAMA INC                          ,KAWASAKI KISEN KAISHA. LTD.                       ,ILGPAN
20230118,SM LONG BEACH            ,KR ,SEL2301216          ,MIRKOR TECHNOLOGIES                               ,MIRCOM TECH. LTD.                                 ,SAME AS CONSIGNEE                                 ,MIRKOR TECHNOLOGIES                               ,CHRTOR
20230118,SM LONG BEACH            ,KR ,SEL2301054          ,FUKOKU KOREA CO.  LTD.                            ,POSCO INTERNATIONAL AMERICA CORP.                 ,SAME AS CONSIGNEE                                 ,FUKOKU KOREA CO.  LTD.                            ,CHRDTW
20230118,HYUNDAI AMBITION         ,KR ,SEL2301004          ,EASTERN INDUSTRIAL CORP                           ,TN WEBBING PRODUCTS COMPANY                       ,TN WEBBING PRODUCTS COMPANY                       ,EASTERN INDUSTRIAL CORP                           ,CHRDKX
20230118,HYUNDAI AMBITION         ,KR ,SEL2301148          ,CM PARTNER  INC.                                  ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,C.M. PARTNER  INC.                                ,CHRCHI
20230118,HYUNDAI AMBITION         ,KR ,SEL2301149          ,CM PARTNER  INC.                                  ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,C.M. PARTNER  INC.                                ,CHRCHI
20230118,HYUNDAI AMBITION         ,KR ,SEL2301228          ,CM PARTNER  INC.                                  ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,C.M. PARTNER  INC.                                ,CHRCHI
20230118,HYUNDAI AMBITION         ,KR ,SEL2301072          ,VITZRO EM CO.  LTD.                               ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,VITZRO EM CO.  LTD                                ,CHRCHI
20230118,HYUNDAI AMBITION         ,KR ,SEL2301073          ,VITZRO EM CO.  LTD.                               ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,VITZRO EM CO.  LTD                                ,CHRCHI
20230118,HYUNDAI AMBITION         ,KR ,SEL2301074          ,VITZRO EM CO.  LTD.                               ,GENERAC POWER SYSTEMS  INC.                       ,ICS WORLDWIDE                                     ,VITZRO EM CO.  LTD                                ,CHRCHI
20230118,HYUNDAI SINGAPORE        ,IN ,423441891PNQ        ,INDUSTRIAL                                        ,MASTALLOY CO LTD                                  ,                                                  ,                                                  ,CHRPNQ
20230118,SM LONG BEACH            ,KR ,SEL2301208          ,HELINOX USA INC.                                  ,IN-SPORT FASHIONS INC.                            ,SAME AS CONSIGNEE                                 ,HELINOX INC.                                      ,CHRYMQ
20230118,SM LONG BEACH            ,KR ,SEL2301210          ,DOITEX                                            ,KIM & CO                                          ,SAME AS CONSIGNEE                                 ,DOITEX                                            ,CHRYMQ
20230118,SM LONG BEACH            ,KR ,SEL2301211          ,DAMON TEXTILE CO LTD                              ,KIM & CO                                          ,THE SAME AS ABOVE                                 ,DAMON TEXTILE CO LTD                              ,CHRYMQ
20230118,SM LONG BEACH            ,KR ,SEL2301214          ,K.S INTERNATIONAL INC                             ,KIM & CO.                                         ,SAME AS CONSIGNEE                                 ,K.S INTERNATIONAL INC                             ,CHRYMQ
20230118,SM LONG BEACH            ,KR ,SEL2301215          ,GLOBIZ CORP                                       ,ECONOMICAL SOLUTIONS CORP                         ,SAME AS CONSIGNEE                                 ,GLOBIZ CORP                                       ,CHRYMQ
20230118,SM LONG BEACH            ,KR ,SEL2301209          ,FIF INTERNATIONAL CORP.                           ,KIM & CO.                                         ,SAME AS CONSIGNEE                                 ,FIF INTERNATIONAL CORP.                           ,CHRYMQ
20230118,SM LONG BEACH            ,KR ,SEL2301207          ,ALTIEL LTD                                        ,MEDIATECH - TRANSIT                               ,SAME AS CONSIGNEE                                 ,ALTIEL LTD                                        ,CHRYMQ
20230118,ASIATIC PRIDE            ,KR ,SEL2301596          ,KTE CO.  LTD.                                     ,NATIONAL TILES                                    ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,APCMEL
