
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230120,          ,KR ,A226814KRSEL        ,SAM SHIN CHEMICAL CO. LTD                         ,EXODUSDIRECT  LLC                                 ,ATTN : NATHAN BOES                                ,EXODUSDIRECT  LLC                                 ,CHRMKC
20230120,          ,KR ,A226801KRSEL        ,WOOJEON CO.  LTD.                                 ,AMAZON.COM SERVICES LLC                           ,SHIP TO : 300 RIVER PARK DRIVE                    ,AMAZON ROBOTICS LLC.                              ,CHRBOS
20230120,          ,US ,423654508STL        ,THE H-J FAMILY OF COMPANIES                       ,IEN HAN CHANG CO LTD                              ,IEN HAN CHANG CO LTD                              ,                                                  ,CHRSTL
20230120,          ,KR ,A226821KRSEL        ,ASIA PIPELINE SUPPLIES CORP.                      ,DIALOG FITZROY LTD                                ,SAME AS ABOVE                                     ,                                                  ,APCNZ
20230120,          ,KR ,UPS176316109        ,MEXCO INTERNATIONAL CO.  LTD.                     ,KIXX MMX S. DE R.L. DE C.V.                       ,SAME AS CONSIGNEE                                 ,                                                  ,PHXK
20230120,          ,US ,423380350DEN        ,COORSTEK GRAND JUNCTION                           ,COORSTEK  INC.                                    ,COORSTEK  INC.                                    ,                                                  ,
