
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230121,HMM LE HAVRE             ,BE ,422721912CDG        ,LIEBHERR COMPONENTS COLMAR SAS                    ,FUKOKU KOREA CO.  LTD.                            ,FUKOKU KOREA CO.  LTD.                            ,FUKOKU KOREA CO.  LTD.                            ,CHREUR
20230121,HYUNDAI PLATINUM         ,KR ,SEL2301642          ,CHEM-TECH KOREA CO. LTD.                          ,M/S MODINE THERMAL SYSTEMS PVT. LTD.              ,SAME AS CONSIGNEE                                 ,CHEM-TECH KOREA CO. LTD.                          ,CHRMAA
20230121,ONE MAXIM                ,KR ,SEL2301231          ,KR FITTING CO. LTD                                ,BOJIN HONGKONG LIMITED                            ,BOJIN HONGKONG LIMITED                            ,KR FITTING CO. LTD                                ,CHRLAX
20230121,HYUNDAI PLATINUM         ,KR ,SEL2301619          ,MODINEONEGENE LIMITED                             ,MODINE THERMAL SYSTEMS PVT LTD                    ,SAME AS CONSIGNEE                                 ,MODINEONEGENE LIMITED                             ,CHRMAA
20230121,KMTC COLOMBO             ,KR ,SEL2301659          ,SAMYOUNG MACHINERY CO.  LTD.                      ,KORES (INDIA) LIMITED                             ,SAME AS CONSIGNEE                                 ,SAMYOUNG MACHINERY CO.  LTD.                      ,CHRPNQ
20230121,ASIATIC PRIDE            ,KR ,SEL2301596          ,KTE CO.  LTD.                                     ,NATIONAL TILES                                    ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,APCMEL
20230121,ASIATIC PRIDE            ,KR ,SEL2301597          ,KTE CO.  LTD.                                     ,NATIONAL TILES                                    ,SAME AS CONSIGNEE                                 ,DECO CO.  LTD.                                    ,APCMEL
20230121,HYUNDAI PLUTO            ,KR ,SEL2301657          ,PILLIP INDUSTRIAL CO.  LTD.                       ,ENVIRON SKIN CARE CC.                             ,SAME AS CONSIGNEE                                 ,PILLIP INDUSTRIAL CO.  LTD.                       ,MEGA01
20230121,KMTC SHANGHAI            ,KR ,KMTCPUSG370464      ,DIPLOMAT SAFE LTD.                                ,ZENOREX MARKETING CORPORATION                     ,ZENOREX MARKETING CORPORATION                     ,DIPLOMAT SAFE LTD.                                ,CHRYMQ
20230121,KMTC SHANGHAI            ,KR ,KMTCPUSG370464A     ,MASTER LOCK COMPANY LLC                           ,ZENOREX MARKETING CORPORATION                     ,ZENOREX MARKETING CORPORATION                     ,DIPLOMAT SAFE LTD.                                ,CHRYMQ
20230121,HEUNG-A HAIPHONG         ,KR ,SEL2301638          ,MICROSOFT KOREA INC.                              ,MICROSOFT IRELAND OPERATIONS LTD                  ,SAME AS CONSIGNEE                                 ,MICROSOFT KOREA                                   ,CHRHKG
20230121,CMA CGM MUNDRA           ,KR ,2301504SEL          ,ESAB SEAH CORP.                                   ,ESAB MEXICO SA DE CV                              ,ESAB MEXICO SA DE CV                              ,ESAB SEAH CORP.                                   ,CHRGRC
20230121,COSCO BELGIUM            ,KR ,SEL2301159          ,BOXCO  INC.                                       ,BUD INDUSTRIES  INC.                              ,SAME AS CONSIGNEE                                 ,BOXCO  INC.                                       ,CHRCHS
20230121,COSCO BELGIUM            ,KR ,SEL2301098          ,DUO-FAST KOREA CO.  LTD.                          ,ITW RENOVATION AND REMODELING DBA ITW PASLODE     ,1) SAME AS CONSIGNEE                              ,DUO-FAST KOREA CO.  LTD.                          ,CHRCHI
