
ETD     ,VESSELNAME,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,----------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------
20230118,          ,KR ,A226780KRSEL        ,SAMSUNG ELECTRONICS CO.  LTD                      ,MWS                                               ,SAME AS CONSIGNEE                                 ,MWS WIRELESS                                      ,CHRPHX
20230118,          ,US ,422015692CLE        ,STERIS CORPORATION                                ,YOUNG SCIENCES INC                                ,YOUNG SCIENCES INC                                ,                                                  ,
20230118,          ,US ,423465931DFW        ,MOHAWK LABORATORIES                               ,NCH KOREA LTD                                     ,NCH KOREA LTD                                     ,                                                  ,CHRDFW
20230118,          ,KR ,A226775KRSEL        ,WOO YOUNG MEDICAL CO.  LTD.                       ,GRIFOLS MOVACO  S.A.                              ,SAME AS CONSIGNEE                                 ,                                                  ,ASP004
20230118,          ,KR ,17657030190         ,REJUNOS                                           ,LA VIDA FZE                                       ,SAME AS CONSIGNEE                                 ,                                                  ,CSSUAE
20230118,          ,KR ,A226807KRSEL        ,PILS CO.  LTD.                                    ,SHIP`S SPARES IN TRANSIT THE MASTER OF NGUJIMA-YIN,SCORE AUSTRALASIA PTY LTD                         ,                                                  ,APCNEW
20230118,          ,JP ,SNK11006437         ,UNITED AIRLINES - NTRHO                           ,LSG SKY CHEFS                                     ,LSG SKY CHEFS                                     ,                                                  ,CHRCHI
