
ETD     ,VESSELNAME               ,POL,HBL                 ,SHIPPER                                           ,CNEE                                              ,NOTIFY                                            ,CUSTOMER                                          ,AGENT
--------,-------------------------,---,--------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,------
20230122,ITAJAI EXPRESS           ,KR ,SEL2301647          ,SAM SHIN CHEMICAL CO. LTD                         ,PLASTIC OMNIUM SLP                                ,SAME AS CONSIGNEE                                 ,SAM SHIN CHEMICAL CO. LTD                         ,CHRGRC
20230122,ESSEN EXPRESS            ,KR ,SEL2301058          ,CHUNGHO NAIS CO.  LTD.                            ,QUENCH USA                                        ,SAME AS CONSIGNEE                                 ,CHUNG HO NAIS CO. LTD                             ,CHRMIA
20230122,ESSEN EXPRESS            ,KR ,SEL2301057          ,CHUNGHO NAIS CO.  LTD.                            ,QUENCH USA                                        ,SAME AS CONSIGNEE                                 ,CHUNG HO NAIS CO. LTD                             ,CHRMIA
20230122,YM TOPMOST               ,KR ,SEL2301002          ,WONJIN POLYMER CO.  LTD.                          ,H.B. FULLER NA                                    ,SHIP TO                                           ,WONJIN POLYMER CO.  LTD.                          ,CHRMSP
20230122,KMTC CHENNAI             ,KR ,SEL2301662          ,KOREAN BIBLE SOCIETY                              ,THE BIBLE SOCIETY OF SINGAPORE                    ,SAME AS CONSIGNEE                                 ,KOREAN BIBLE SOCIETY                              ,PHXSIN
20230122,MAERSK HALIFAX           ,KR ,SEL2301553          ,DONGIL PRECISION INDUSTRY CO.  LTD.               ,DAECHANG SEAT SK S.R.O                            ,SAME AS CONSIGNEE                                 ,DONGIL PRECISION INDUSTRY CO.  LTD.               ,CHRPRG
20230122,ONE MAXIM                ,KR ,SEL2301055          ,NEXANS KOREA                                      ,NEXANS AMERCABLE                                  ,SAME AS CONSIGNEE                                 ,NEXANS KOREA                                      ,CHRHOU
20230122,ESSEN EXPRESS            ,KR ,SEL2301122          ,COWAY CO.  LTD.                                   ,KINETIC SOLUTIONS INC. DBA RABBITAIR              ,ASW                                               ,COWAY CO.  LTD.                                   ,CHRLAX
20230122,MAERSK HALIFAX           ,KR ,SEL2301582          ,OTOS WING CO. LTD.                                ,GCE S.R.O.                                        ,234W                                              ,OTOS WING CO. LTD.                                ,CHRPRG
20230122,ITAJAI EXPRESS           ,KR ,SEL2301651          ,NOW INDUSTRIES CO.  LTD.                          ,KONGSBERG DRIVELINE SYSTEMS                       ,AA ALFREDO SALINAS JACOBO                         ,NOW INDUSTRIES CO. LTD                            ,CHRGRC
20230122,KMTC MUNDRA              ,KR ,SEL2301645          ,SAMBO IND. CO. LTD                                ,SYNERGY CORPORATION                               ,SAME AS CONSIGNEE                                 ,SAMBO IND. CO. LTD                                ,CHRPNQ
20230122,ONE MAXIM                ,KR ,SEL2301157          ,SUNG IL CO. LTD                                   ,MASONITE. CORP. - MESQUITE                        ,A N DERINGER INC                                  ,SUNG IL CO.  LTD.                                 ,CHRCLT
20230122,PACIFIC TIANJIN          ,KR ,SEL2301672          ,KANEMATSU KOREA CORPORATION                       ,KANEMATSU CORPORATION / TCC18 DEPT                ,SAME AS CONSIGNEE                                 ,KANEMATSU KOREA CORPORATION                       ,JPSGL2
